2020,LFH,LFY,LGG,LGH,LGP,LHG,LHK,---,---,---,---,---
2019,KTJ,KVB,KVX,KWT,KXR,KYN,KZK,KZY,LBN,LCG,LCY,LDR
2018,KHG,KHY,KJV,KKR,KLN,KMM,KNK,KPD,KPS,KRJ,KRZ,KSS
2017,JWN,JXF,JYB,JYT,JZP,KBM,KCH,KCV,KDK,KFB,KFV,KGN
2016,JLN,JMF,JMY,JNR,JPK,JRG,JRZ,JSL,JTB,JTR,JVH,JVZ
2015,JCK,JCY,JDR,JFG,JFW,JGP,JHJ,JHT,JJH,JJW,JKK,JKZ
2014,HVN,HVZ,HWM,HXB,HXN,HYD,HTY,HZB,HZL,HZZ,JBL,JBY
2013,HNT,HPC,HPN,HPY,HRK,HRX,HSK,HSR,HSZ,HTK,HTV,HVF
2012,HJC,HJM,HKB,HKL,HKX,HLK,HLW,HMD,HML,HMT,HNC,HNK
2011,HBP,HCB,HCR,HDC,HDR,HFF,HFT,HGC,HGM,HGX,HHH,HHT
2010,GTC,GTS,GVM,GWC,GWV,GXP,GYD,GYM,GYX,GZJ,GZT,HBG
2009,GKS,GLC,GLP,GMC,GMN,GNF,GNY,GPJ,GPW,GRM,GSC,GSR
2008,FZR,GBN,GCK,GDH,GFC,GFY,GGV,GHG,GHT,GJJ,GJV,GKH
2007,FKY,FLV,FNB,FNZ,FRC,FSJ,FTP,FVJ,FWC,FXB,FXY,FYY
2006,DVW,DWT,DXZ,DYY,FBC,FCJ,FDP,FFK,FGF,FHD,FJD,FKC
2005,DFZ,DGX,DHZ,DKB,DLD,DMJ,DNP,DPK,DRG,DSC,DTB,DVB
2004,CRV,CSS,CTT,CVR,CWR,CXT,CYY,CZP,DBJ,DCH,DDG,DFF
2003,CDV,CFM,CGJ,CHF,CJC,CKB,CLD,CLV,CMM,CNK,CPF,CRC
2002,BSL,BTF,BTZ,BVW,BWT,BXP,BYP,BZF,BZV,CBP,CCH,CDC
2001,BFJ,BGF,BHG,BJC,BKB,BLC,BMF,BMW,BNL,BPG,BRB,BRT
2000,---,---,---,---,---,---,---,---,BBJ,BCD,BCY,BDR
